datetime,open,high,low,close,volume
2025-05-20 09:33:00+05:30,24954.3,24955.2,24940.45,24941.3,0
2025-05-20 09:34:00+05:30,24940.65,24940.95,24930.85,24935.55,0
2025-05-20 09:35:00+05:30,24935.1,24937.3,24932.25,24935.6,0
2025-05-20 09:36:00+05:30,24935.45,24950.55,24932.95,24950.55,0
2025-05-20 09:37:00+05:30,24951.1,24960.05,24950.35,24958.35,0
2025-05-20 09:38:00+05:30,24957.95,24961.7,24950.85,24951.9,0
2025-05-20 09:39:00+05:30,24951.3,24957.65,24948.95,24956.45,0
2025-05-20 09:40:00+05:30,24956.35,24956.95,24938.1,24938.65,0
2025-05-20 09:41:00+05:30,24937.8,24937.8,24923.75,24925.55,0
2025-05-20 09:42:00+05:30,24925.6,24927.0,24917.1,24920.1,0
2025-05-20 09:43:00+05:30,24920.2,24930.75,24915.3,24915.65,0
2025-05-20 09:44:00+05:30,24915.6,24920.9,24913.9,24915.75,0
2025-05-20 09:45:00+05:30,24916.15,24916.15,24893.7,24899.1,0
2025-05-20 09:46:00+05:30,24898.45,24908.0,24887.6,24907.3,0
2025-05-20 09:47:00+05:30,24907.05,24909.5,24897.5,24898.15,0
2025-05-20 09:48:00+05:30,24897.5,24898.6,24892.15,24896.0,0
2025-05-20 09:49:00+05:30,24895.45,24898.9,24891.2,24898.05,0
2025-05-20 09:50:00+05:30,24898.3,24898.3,24887.2,24894.55,0
2025-05-20 09:51:00+05:30,24896.15,24906.05,24895.05,24904.1,0
2025-05-20 09:52:00+05:30,24903.0,24903.1,24889.3,24890.65,0
2025-05-20 09:53:00+05:30,24889.95,24889.95,24869.4,24870.55,0
2025-05-20 09:54:00+05:30,24870.8,24874.5,24863.4,24873.7,0
2025-05-20 09:55:00+05:30,24873.5,24875.45,24867.25,24875.45,0
2025-05-20 09:56:00+05:30,24874.5,24890.25,24873.95,24890.25,0
2025-05-20 09:57:00+05:30,24891.1,24895.0,24889.05,24891.85,0
2025-05-20 09:58:00+05:30,24892.85,24897.45,24887.75,24887.75,0
2025-05-20 09:59:00+05:30,24888.05,24895.3,24883.4,24894.05,0
2025-05-20 10:00:00+05:30,24893.65,24895.45,24888.8,24892.25,0
2025-05-20 10:01:00+05:30,24892.0,24892.3,24879.25,24880.4,0
2025-05-20 10:02:00+05:30,24880.5,24882.65,24874.3,24881.25,0
2025-05-20 10:03:00+05:30,24881.7,24892.9,24879.45,24892.5,0
2025-05-20 10:04:00+05:30,24892.55,24894.5,24885.25,24892.5,0
2025-05-20 10:05:00+05:30,24891.9,24899.85,24889.8,24898.35,0
2025-05-20 10:06:00+05:30,24897.45,24906.95,24895.6,24906.95,0
2025-05-20 10:07:00+05:30,24905.9,24909.85,24899.7,24899.7,0
2025-05-20 10:08:00+05:30,24900.5,24902.15,24892.6,24893.5,0
2025-05-20 10:09:00+05:30,24893.0,24898.15,24886.1,24897.0,0
2025-05-20 10:10:00+05:30,24897.05,24901.15,24895.9,24895.95,0
2025-05-20 10:11:00+05:30,24896.05,24902.2,24894.7,24895.15,0
2025-05-20 10:12:00+05:30,24894.85,24898.05,24893.0,24893.5,0
2025-05-20 10:13:00+05:30,24893.7,24894.6,24888.6,24889.6,0
2025-05-20 10:14:00+05:30,24890.05,24899.4,24889.6,24899.4,0
2025-05-20 10:15:00+05:30,24899.5,24902.6,24893.55,24895.1,0
2025-05-20 10:16:00+05:30,24894.95,24896.35,24887.4,24888.5,0
2025-05-20 10:17:00+05:30,24888.9,24889.1,24879.0,24883.15,0
2025-05-20 10:18:00+05:30,24883.55,24887.2,24880.6,24886.85,0
2025-05-20 10:19:00+05:30,24885.65,24893.55,24884.95,24892.45,0
2025-05-20 10:20:00+05:30,24892.8,24895.75,24891.1,24894.95,0
2025-05-20 10:21:00+05:30,24895.3,24896.25,24891.3,24895.65,0
2025-05-20 10:22:00+05:30,24894.95,24896.65,24891.1,24894.65,0
2025-05-20 10:23:00+05:30,24895.05,24896.8,24889.95,24890.5,0
2025-05-20 10:24:00+05:30,24890.35,24892.6,24889.6,24890.9,0
2025-05-20 10:25:00+05:30,24890.85,24897.7,24888.65,24897.6,0
2025-05-20 10:26:00+05:30,24897.65,24902.5,24892.25,24895.4,0
2025-05-20 10:27:00+05:30,24895.05,24895.7,24887.65,24888.45,0
2025-05-20 10:28:00+05:30,24887.55,24891.6,24886.45,24890.95,0
2025-05-20 10:29:00+05:30,24890.1,24891.25,24884.5,24889.1,0
2025-05-20 10:30:00+05:30,24888.55,24892.3,24887.4,24891.3,0
2025-05-20 10:31:00+05:30,24890.6,24899.5,24890.2,24894.35,0
2025-05-20 10:32:00+05:30,24895.0,24898.5,24893.35,24896.25,0
2025-05-20 10:33:00+05:30,24896.45,24896.55,24891.6,24892.95,0
2025-05-20 10:34:00+05:30,24893.75,24896.05,24890.7,24895.3,0
2025-05-20 10:35:00+05:30,24894.15,24904.6,24893.75,24902.3,0
2025-05-20 10:36:00+05:30,24902.05,24926.95,24900.95,24926.95,0
2025-05-20 10:37:00+05:30,24927.0,24932.0,24921.4,24921.95,0
2025-05-20 10:38:00+05:30,24921.7,24924.65,24917.25,24924.4,0
2025-05-20 10:39:00+05:30,24924.35,24930.2,24924.35,24929.0,0
2025-05-20 10:40:00+05:30,24928.85,24934.65,24927.85,24932.6,0
2025-05-20 10:41:00+05:30,24932.8,24934.8,24924.95,24925.8,0
2025-05-20 10:42:00+05:30,24925.35,24934.6,24922.9,24933.65,0
2025-05-20 10:43:00+05:30,24934.35,24935.15,24928.0,24929.2,0
2025-05-20 10:44:00+05:30,24930.25,24931.35,24925.4,24927.0,0
2025-05-20 10:45:00+05:30,24927.25,24958.65,24926.65,24958.2,0
2025-05-20 10:46:00+05:30,24959.3,24967.25,24956.85,24963.55,0
2025-05-20 10:47:00+05:30,24964.35,24964.35,24946.4,24947.3,0
2025-05-20 10:48:00+05:30,24947.0,24953.8,24946.45,24951.9,0
2025-05-20 10:49:00+05:30,24952.05,24953.9,24945.85,24947.4,0
2025-05-20 10:50:00+05:30,24947.1,24951.05,24946.05,24949.05,0
2025-05-20 10:51:00+05:30,24949.15,24951.35,24946.4,24950.25,0
2025-05-20 10:52:00+05:30,24950.55,24950.55,24941.0,24941.0,0
2025-05-20 10:53:00+05:30,24940.95,24940.95,24928.55,24934.35,0
2025-05-20 10:54:00+05:30,24934.55,24934.75,24927.8,24927.95,0
2025-05-20 10:55:00+05:30,24928.25,24929.15,24918.2,24919.65,0
